id,kood,nimi,markus,sort,tase,jrk
1161,011001030,Pidin Pillele minema,"ERlA 1981. Pidin Pillele minema: väga populaarne lauluke. Üle maa tuntud, eriti eP. Enamik variante tuntud rõvedas arenduses («musud» asendatud teise sõnaga). Uuemaaegne poiste trallitus.",2,3,
1162,011007007,Nägin neidu,vrd Nälja peksmine,2,3,
1163,017002027,Oleks üksi olemaies,,2,3,
1164,017002034,"Tui, neiuke, tule mulle!",,2,3,
1165,011006011,Ei tule sinule!,"Ei tule sinule!: VK V 245, VK VI 699, VK VIII 509, VK IX 346, VK XI 275, ERlV V 61, ERlA

2216; Ei lähe sinule – VK IV 178. ERlA 2216. Ei tule sinule: tuntud üle Eesti. Populaarne laul. Liitub sageli eelmisega. Siia põimub muidki pilkemotiive (vt. 122 «Lauliku sõim»). Põiminguilt väga komp",2,3,
1166,011002019,"Ära võta valget, võta must!","vrdl Võta vallast vaeslaps (ERlA 2170), Mine mustale mehele! (ERlA 2308)",2,3,
1167,011003056,Teiste naerda jäänud,ERlA 2093. Teiste naerda jäänud: eP tuntud.,2,3,
1168,003001035,"Tule välja, päevakene!","ERlA 141. Tule välja, päevakene!: tuntud eL. Sageli kasutusel karjaste lauluna. Meenutab loitsu (päevale lubatakse must kukk ~ liha ~ leiba jne.). Sama motiiv (tapan musta kuke ~ tapan talle) esineb lauludes 147 («Mis ma annan veerijalle»), 3201 («Üle, vihmake!»), 3202 («Tuttu, tuuleke»). ",2,3,
1169,003009012,Hirnub selgaistujaid,"Hirnub selgaistujaid: VK VIII 108, VK IX*, VK X 331, VK 96, ERlA 303: Hirnub selgaistujaid: sellisena haruldane, esinedes eelistavalt eP. Populaarne aga motiivina, esinedes lauludes 47—48 ja 471 («Hobusemäng»), harvemini mujalgi.",2,3,
1170,001003001,Ants oli aus saunamees,"ERlA IV järgi \""uuem lauluke\"". Siirdevormilisena tuleb ehk kõne alla. Koeduslaulu kuju. Ei tea, kus peab olema",2,3,
1171,003009073,Kurg ja vares,ERlA 236. Kurg ja vares: tuntud üle Eesti. Vasteid leidub ka Soomes.,2,3,
1172,008002031,Öised orjad,Ajutine tüüp! ERlAs 1352. Teeni saksa sada aastat; 1399. Öised orjad riideid kuivatamas; 1400. Ööd tuleme — ööd läheme ,2,3,
1173,008002032,Ööd tuleme - ööd läheme,ERlA 1400. Ööd tuleme — ööd läheme: tuntud Kirde-Eestis. A. Siiski liigub liia vitsa; B. Siiski hirmu all; C. Siiski kurjad kukutakse ; D. Siiski pelgan pekstavat,2,3,
1174,017002014,Kosilased,,2,3,
1175,007005008,Teretamata möödujale,"VK XI*; ERlA 1121. Teretamata möödujale: tuntud üle maa, eriti populaarne Ida-Eestis. Sisult sajatus (või pilge). Siia liitub muidki pilkemotiive teistest sõimulauludest. Tänini on maal halvaks tooniks teretamata möödumine, eriti obligatoorne aga oli (ja on veelgi) «jõudu» andmine tööta",2,3,
1176,017002033,Teolkäija tüdruk,,2,3,
1177,008003083,Teolise leivakott,"Teolise leivakott: VK V 302, VK XI 176, ERlA 1510; Teomehe leivakott – VK VI 227, VK VIII 173; Teolise halb söök – ERlV V 143.",2,3,
1178,017002032,Teised läind juba teole,,2,3,
1179,005005050,Mehed ja naised kõrtsis,ühendab mitmeid tüüpe,2,3,
1180,005005046,Kõrtsilaul,,2,3,
1181,012004003,Kus suitseb soe roog,"ERlA 2375, Lääne-Eestis tuttav, esineb peamiselt laulutsüklis (sageli tsükli alusena), kuhu liituvad mitmed sõidulaulud (näit. 2365 «Pane selga mehe riided»). Liitub puhuti laulule «Imemaa» (1064, eriti red. B: «kus need kuused kullendavad»). Lauldud mitmel puhul (mõrsjakoju sõitmisel,",2,3,
1182,005001014,Kõrtsimäng,,2,3,
1183,010006,Isa ja tütar,,1,2,
1184,010006003,Õlle asemel tütrele helmeid,"ERlA 1854, Mulgimaal tuntud. Vormilt ligineb üleminekuastmele regivärsilt riimile.",2,3,
1185,012027007,Kes käskis kõrtsis kõnelda,"ERlA 2562, Lõuna-Eestis populaarne laul (kohati esineb ka läänes). Parastus mõrsjaemale (vrd. sisuliselt lauludega 2561, 2557 jt.). Motiivina tuleb ette laulus 1861, liitub lauluga «Miks pandid vastu võtsid» ning motiividega lauludest tütrepõlvest kodus (eriti 1856—1858).",2,3,
1186,005005043,Kõrtside loetelu,,2,3,
1187,005001028,Mitu kosilast,,2,3,
1188,012030003,Niidist piits,,2,3,
1190,005005048,Kõrtsist koju,"ERlA 613, peamiselt eP noteeritud üksikuid teisendeid. Põhimotiiv «Kes koju ootab» on ühine tüüpidega 1790—1793. Liitub sageli lauludega 171 ja 1804 («Kodu kuus, kõik kurjad»). Vt. ka laule 3079—3080 — sama sündmus teisest aspektist jälgitud.",2,3,
1191,013002019,Joodikust mees,,2,3,
1192,011004004,Hoidku joodikule saamast!,"ERlA 3082, Kesk-Eestis ja Lääne-Eestis tuntud laulutüüp. On seotud laulutüübiga 601 («Joodiku nädal»), mis moodustab keskse osa laulust ja kuhu liitub õpetus (vrd. 3078). Lõppu liitub motiive lauludest 2330 («Petis peiu») või 2331 («Tule mulle!»). Kontaminatsiooniline arendus, mis on",2,3,
1193,005005018,Joodik - AJUTINE,,2,3,
1194,011004023,Ära jookse joodikule!,"ERlA 2307, sellisena haruldane. Motiivina tuntud (esineb õpetuslauludes, pulmalauludes, abielulauludes). Joodiku mehe teema on regivärsis populaarne, andes mõned kindlad laulutüübid ja rohkesti improvisatsioonilisi arendusi. Liitub sageli lauluga 3077.",2,3,
1195,010005002,Asjatult loodud rikaste risuks,ERlAs 1189 Asjatult loodud redaktsioon B,2,3,
1196,008001009,"Rikas - inetu, vaene - ilus","ERlA 1259. Rikas — inetu, vaene — ilus!: suhteliselt väheste üleskirjutustega esindatud, siiski laialt alalt (peamiselt küll Ida-Eestis) noteeritud laulutüüp. Lähedalt seotud vaeslapselauludega (vrd. näiteks 1643 «Peretütar inetu, vaeslaps ilus»). Liitumisi esineb tüüpidega 1199 («K",2,3,
1197,008003057,Mõis rikas valla vaevast,"Ajutine tüüp, vrdl ERlA 1349. HÄRRAD ILUSAD VALLA VAEVAST; 1351. KUST SAKS SAAPAD SAANUD jne",2,3,
1198,008001003,Ei rikast rahasse panda,"Ei rikast rahasse panda: VK IX 160, VK XI 157; ERlA 1279; Ei rikas rahasse panda - VK V 283; Ei püüa rikkust – VK VI 296. ERlA 1279: ülemaaliselt tuttav, siiski ainult väheste üleskirjutustega esindatud. Tihedalt seotud lauluga 1278; mõnikord liitub siia sissejuhatava motiivina laul 1276. Mu",2,3,
1199,008001013,Rikka härg ja vaese vares,"Rikka härg ja vaese vares: VK VI 289, VK VII 146, VK VIII 221, VK IX 1162, VK XI 156, ERlV V 127, ERlA 1271; Rikka ja vaese söök – VK III 383, VK IV 401.",2,3,
1200,008001010,Rikas nutab surres,"ERlA 1278. Rikas nutab surres: eP tuntud (ka Saaremaal), kuid esindatud väheste üleskirjutustega. Tihedalt seotud lauluga 1279 («Ei rikast rahasse panda») samuti lauludele 1221 ja 1253 liitub õige sageli; puhuti ka 1271 ja 1970 (vt. näit. tekst 2600)",2,3,
1201,008001020,Võta ära rikaste risust,"ERlA 1256. Võta ära rikaste risust: ülemaaliselt tuntud laulutüüp (üleskirjutusi pole siiski leitud Harjust, Saaremaalt ja Võrumaalt). Väga lähedalt seotud tüübiga 1189 («Asjatult loodud»), vt. redaktsioon B («Asjatult loodud rikaste risuks»), aga ka lauluga 1253 («Rikas hüüab reek",2,3,
1202,005004024,Riia rikkumine,"ERlA 1061. Riia rikkumine: tuntud üle maa, eriti populaarne on põhjarannikul ja Mulgimaal. Palju arendusi: A. n.-ö. puhas arendus on eriti põhjarannikul tuntud; B. Keisrikiri ei luba rikkuda — lokaalne. Kuusalus tuttav; C. Vaht keelas rikkumast — eP üldiselt levinud; D. Rikkus rinnu — eL ",2,3,
1203,009002007,Sõda Riia all,"ERlA 1670. Sõda Riia all: tuntud eL, eelkõige Mulgimaal. On sageli seotud rändsüžeega «Arvati sõjaks» (vt. eriti 1070 — «Mõeldi sõda sõitvat», aga ka 116 D, 1006, 1016, 2042, 2377). Kauge paralleelsus tüübiga 1061 («Riia rikkumine»). Traditsioonilistest kontaminatsioonidest (tingl",2,3,
1204,010003005,Riias ristitud,"ERlA 1901. Riias ristitud: tuntud saartel ja eL. Populaarsem motiivina kui iseseisva lauluna. Liitub paljudele lauludele rühmas «Rikas ja vaene», samuti kodu- ja lapsepõlvelauludele (näit. 1893). Vt. ka H II 11, 713 (20)<VMr.",2,3,
1205,009002004,Riia rajamine,"ERlA 1688. Riia rajamine: levikukeskus Mulgimaal, üksikuid noteeringuid ka mujalt. Sageli esineb liitunult (otse orgaaniliselt) järgmise lauluga. Vt. ka laul 1271. Sisult huvitav — viide õige kaugesse minevikku. Teatav ajaloopärimuste luulendus.",2,3,
1206,005004025,Riia soola tuua,Riia rikkumise motiiv,2,3,
1207,005005010,Homme toobid upakile,"ERlA 606, tuntud üle maa, eriti eL. Kontamineerub mitmesuguste õllelauludega (eriti 590 ja 584). Kasutatud peamiselt pulmalauluna, sellisena liitub sageli laulule 618.",2,3,
1208,012003004,Mustad mundrisse,"VK XI 311. ERlA 2369. Mustad mundrisse: tuntum motiivina (liitosana) kui iseseisva lauluna (vt. ka 1067). Esineb Põhja- ja Lääne-Eestis (puhuti ka Mulgimaal). Liitub mitmeti, ka lauluga 310 («Ehitud hobune») ja 2342 («Ehi hobu, siis tuleb naine»). Lauldud peiukodus, ettevalmistuste juures sõ",2,3,
1209,011001037,Poiss tõuseb päiksega,"Poiss tõuseb päikesega: VK XI 261, ERlA 1983; Poiss tõuseb neidude juurest – VK IV 186, VK VI 485. ERlA 1983: tuntud üle Eesti. Populaarne laul. eL liitub siia sageli «Maksa ära neiu võlg» (1994). Liitub eelmise lauluga. Laulu alguses esineb päris orgaaniliselt motiiv laulust 139 («Kust ",2,3,
1210,006010004,Juba läinud pool ööd,"motiiv, sisaldab Jumala kuke laulu",2,3,
1211,006010009,Maarja ei maga maas,"motiiv, Jeesuse süles",2,3,
1212,011003035,Neiul rauad kaasas,"ERlA 2044. Neiul rauad kaasas: peamiselt Lõuna-Eestis tuntud, sporaadiliselt tuleb ette ka põhjas; teisendeid noteeritud vähem kui näit. eelmises tüübis, millele on sisu poolest paralleel. Võrdlemisi stabiilne laulutüüp.",2,3,
1213,006003007,Lähme loojale loole!,"ERlA 711. Lähme loojale loole: tuntud peamiselt eP, eriredaktsioon laulust 1049. Liitub eriti lauluga 707. Looja on regivärsis võrdlemisi tuntud tegelane. Sageli on looja paralleelsõnaks Mari ~ Maarja. On märkimisväärne selle looja talupoeglik pere: loojale minnakse loogu võtma, looja lehm s",2,3,
1214,013002014,Joodik joob kuue,"ERlA 3086, motiivina populaarne, lauluna haruldane, vrd. 601.",2,3,
1215,013002071,Viskab sukad sõnnikule,"ERlA 3077,  eP tuntud. Meenutab laulu 3045 («Hea kui tui, kuri kui kurat»), kuid vastandina sellele on enamasti ühepoolne laul. Sageli seotud just joodiku mehe teemaga. Puhuti paisutatud mõjuvaks laulu-arenduseks: alguse moodustab vanemate õpetus tütrele, ärgu ta joosku joodikule (vt. 2307), ",2,3,
1216,013002017,Joodikul pole raha,"ERlA 3078, motiivina tuntum, tuntud nii abielulauluna kui õpetuslauluna.",2,3,
1217,005005059,"Seni sõbrad, kuni õlu kannus","ERlA 562,  Kesk-Eestis peamiselt tuttav, mitte eriti populaarne. Oma mürgiselt elufilosoofialt kuulub samasse laadi, kus näit. laul 2996.",2,3,
1218,005005086,Õlut jõin ja õndsaks sain,"ERlA 605, Lääne-Eestis, eriti saartel tuntud laul; vormiliselt meenutab juba siirdevormilisi laule. Tüüpiline meestelaul oma õige jämedakoelise huumoriga. Vrd. 2993",2,3,
1219,007003036,Peretütre ja vaeslapse veimed,vrdl ERlA 1653 Peretütre ja vaeslapse kangas; 2831. Veimede tunnistelemine jmt,2,3,
1220,013002001,Aitab aset teha,"ERlA 3042,eP tuntud, populaarsem kosjateemalise lauluna (2308 «Mine mustale mehele!» ja 2309 «Must aitab»). Siia liitub puhuti ka 3035",2,3,
1221,011005009,Kotkas kaare alt,"ERlA 2109. Kotkas kaare alt: hõredalt noteeritud, esineb peamiselt Lääne-Eestis. Vormilt ahellaul. Kosjafantaasia. Oluline on siin lõpumotiiv «neli neidu», mis esineb ka omaette lauluna (vt. 2118), ent motiivina muudeski ühendustes. Nii tuleb «neli neidu» koos 165 («Pilves veepisarad») sa",2,3,
1222,008004005,Kõnnib kõnede seas,"ERlA 1135. Kõnnib kõnede sees: lauluna haruldane, motiivina populaarsem, esineb mitmes seoses (vaeslapselauludes, lauludes rikkast ja vaesest jne.).",2,3,
1223,005005003,Ei joonud naist maha,"ERlA 593, Kesk-Eestis noteeritud mõned teisendid, haruldasepoolne. Vrd. lauluga 595 («Joon härja maha»). Liitub lauluga 601.

",2,3,
1224,005005032,Joon vana raha,"ERlA 596, ka «Muistne raha» ja «Vanaaegne raha»; põhimotiiv on rändsüžeelise ilmega, esineb väga erinevais seoseis, enamasti ühenduses siiski kiitlemiste ja kiitmistega (peamiselt pulmades, aga ka mujal).",2,3,
1225,005005025,Joojate soost,"ERlA 600,  haruldane, vrd. lauluga 110 («Lauliku soost»). Vt. ka 2581 (redaktsioon A). Ongi vist pulmalaul.",2,3,
1226,010001001,Ei õpetanud õlut jooma,ERlA 1833,2,3,
1227,005005064,"Tooge õlut, kust linnud üle käinud!",ERlA 557,2,3,
1228,005005068,Vahune õlu,ERlA 558,2,3,
1229,005005060,Teeksin õlut,ERlA 548,2,3,
1230,012034005,Õllesepa kiitus,ERlA 2583,2,3,
1231,002001011,Hõiskan õlleta!,ERlA 115,2,3,
1232,017002021,Laulu loomine (<Kreutzwald),"Kreutzwaldi \""Laulu loomine\"" (vt Kreutzwald \""Laulud\"" Tln, 1953, lk. 223-224). Kommentaar sealsamas, lk 345: näide Kr kogutud rahvalauludest, kirjanduslik ümbertöötlus; esmakordselt trükis 1848 ÕESi toimetistes, edasi ka nt

\""Eesti-rahva Ennesmuistestes juttudes... 1860). C. R. Jakobsoni \""",2,3,
1233,008005002,Anna hästi orjale süüa!,"ERlA 1507. Anna hästi orjale süüa!: tuntud eP, mitte eriti arvukalt noteeritud, suhteliselt stabiilne laulutüüp. Esineb ka kontaminatsioone teiste orjuslauludega (1531, 1538, 1512 jt).",2,3,
1234,010001035,Palju tütreid teeb vanaks,ERlA 1864. Palju tütreid teeb vanaks: haruldane. Sisult vastupidine eelmisele.,2,3,
1235,010005003,Halval ajal sündinud,"ERlA 1193. Halval ajal sündinud: suhteliselt väheste üleskirjutustega esindatud põhja-eestiline laulutüüp. Esineb tihti liitunult mõnede vaeslapse- ja murelauludega, nagu 1808 («Pole isa olnudki»), 1841 («Kõrts õpetajaks»), 1190 («Sündinud madalaks»), 1252 («Ei sünni suurte sekka»",2,3,
1236,010002010,Ema viis põlles põllu peale,"Ema viis põlles põllu peale: VK V 277, VK VI 437, VK VII 54, VK VIII 316, VK X

153, VK XI 215, ERlA 1822: peamiselt Põhja-Eestis tuntud. Vrd. lauluga 109 («Lauliku lapsepõlv») — mõlemad on sageli põimunud, nii et raske eraldada üksikuid teisendeid. Laul esineb kahes arenduses: A. Et ei t",2,3,
1237,005005083,Õlu kolmest kokku pandud,ERlA 550,2,3,
1238,005005061,Teeme õllele ilu,ERlA 555,2,3,
1239,005005040,Kunas me kolmi kokku saame?,"ERlA 551, haruldane kontaminatsiooniline arendus

tüüpidest 550 ja 552.

",2,3,
1240,005005084,Õlu teeb sooja,"ERlA 556, eP tuntud; teksti lõppu liitub laul 572. Vrd. 555.

",2,3,
1241,005005081,Õllevaadi otsa peale,"ERlA 583, lauluna haruldane, sageli esineb motiivina laulus 601 («Joodiku nädal»).

",2,3,
1242,008003035,Kupjale meeleheaks viina,vrdl ERlA 1423. Sundijale meelehead,2,3,
1243,006007009,Paksud lademed,"ERlA 830. Paksud lademed: eP tuntud, paralleeltüüp laulule 829 («Ei kulu koodil»). Ka siin on palju arendusi, varieeruvad tegelased, kes «panevad paksud lademed»: vend, peremees, kubjas (eelistavalt viimane). Liitub mitmeti: 828, 833, 834, 824 jne.",2,3,
1244,006007002,Ei kulu koodil,"ERlA 829. Ei kulu koodil: eelistavalt eL tuntud, ka Kesk-Eestist noteeritud. Populaarne laul. Paralleeltüüp laulule 830 («Paksud lademed»). Palju arendusi: enamasti «pani koodile kuluma» vend või kubjas. Tavaliselt kaheosaline laul: pani koodile kuluma — mina olen kaval, ei kulu koodil. Har",2,3,
1245,008005018,Orja põld,"ERlA 1546. Orja põld: eP tuntud (motiivina ka Kagu-Eestist registreeritud). Iseseisva lauluna esineb harva. Motiivina väga sageli laulus 1542 («Sulasele»), puhuti ka teistes sulaselauludes (1547 «Orja hobu», 1553 «Orja ja perepoja õnn»).",2,3,
1246,005005072,Viin kõnnib kõhtu mööda,"ERlA 564, noteeritud üle maa, ent hõredalt, populaarsem Saaremaal. Liitub kergesti teiste kõrtsilauludega.",2,3,
1247,003002023,Puud,,2,3,
1248,005003010,Lahkuja tänu,"ERlA 619 \""Hakkan tänu tegema\"",eP tuntud, populaarsem siiski teretamisvormelina kui jumalagajätuna. Vt. ka 350, 577, 628 ja 2419.",2,3,
1249,005003015,Pidu alati,"ERlA 626, lokaalne laulutüüp. Vormilt näikse olevat nelikvärss.",2,3,
1250,010001026,Küllad külas,"ERlA 1776,eP tuttav, stabiilne tüüp.",2,3,
1251,010001025,Küllad kodus,"ERlA 1777, juhuslik.",2,3,
1252,005003003,Ei tohi külla tulla,"ERlA 633,eP esineb, mitte eriti tuntud, meenutab mängulaulu oma dialoogilise ülesehitusega. Võimalik, et kasutatud lastelauluna.",2,3,
1253,011005006,Kolm põlle,Kosimise ja petispeiu motiiv,2,3,
1254,011005013,Kümme kosilast,"ERlA 2185. Kümme kosilast: Põhja-Eestis tuntud. Noteeritud hõredapoolselt. Liitub puhuti lauluga 457 («Kiri kiige peal») ja teiste armastuslauludega. Üks väheseid laule, kus esineb tegelasena Kalevipoeg. Vt. A. Saareste, Kihnu rahvalaulu «Kalevipoissi» märkuseks. EK 1918/19, 315—316; E. ",2,3,
1255,005003012,Mind ei kutsutud,"ERlA 632,haruldasepoolne. Värsid 5—6 on ilmselt lähtunud pulmalaulust 2415 («Kas tohib tuppa tulla»).",2,3,
1256,006011001,Ajage kari siia!,"ERlA 646, eL populaarne laul. Annab põhimotiivi ka helletusele (647). Tavaliselt esinevad koos niihästi kutse («Aja kari siia») kui ka sajatus («Kui ei aja karja siia»); mõnel puhul esineb ka kutse üksi. Sajatus üksi ei esine, kuid võib liituda ka mujale (644, 3234).",2,3,
1257,006011002,Ajame pullid pusklema!,"ERlA 645,väheseid teisendeid noteeritud eL. Kasutatud ajal, millal küla karjamaad olid veel krunti ajamata ning karju hoiti koos. Algul oli külakarjuseks vanem mees, kellele maksti tasu iga looma pealt, külakarjusele oli abiks igast talust üks alaealine.",2,3,
1258,015003006,Karjase laul rongale,"ERlA 3236,tuntud eelistavalt eL, ulatub ka Kesk-Eestisse (vt. variant 5 — kus esineb sagedane motiiv «tapan tallekese», vrd. 3201, 3202). Varieeruvus suur. Ronk oli õnnetust toov lind, kelle karjast ülelendamine usuti esile kutsuvat õnnetusi: loomade haigusi, lammaste suremist, halbu sõnumei",2,3,
1259,015003008,Karja väljalaskmise sõnad,"ERlA 3233, tuntud üle maa. Ka see on kahepoolne: oma karja õnnistus, küla karja sajatus. Noteeringuid hõredalt. Lauldud karja esimest päeva metsa lastes.

Karja väljalaskmise kombeid on palju ja erinevaid. Sisu on kõigil üks: et kari seisaks koos, ei jookseks metsa laiali ja et metsloomad ei",2,3,
1260,006011007,Kari kaugel,"ERlA 659, eL tuntud, noteeritud ainult väheseid tekste. Sageli liitub laulule 677 («Kas on valmis vasikajook»). Antud tekst on vormiliselt erakordne: igale dipoodile järgneb õllele ja värsile tervikuna veel kord refrään.",2,3,
1261,006011010,Karja koju oodatakse,"ERlA 678, peamiselt eP tuntud, ulatub ka Mulgimaale. Varianditi väga erisuunaliselt hargnev. Ühendavaks osaks on motiiv «Perenaine ootab koju — lüpsik käes». Improvisatsiooni osa on suur. Liitub lauludega 681, 676, 1803 jt.",2,3,
1262,006011047,Tõuse karja saatma!,"ERlA 638, tuntud peamiselt Ida-Eestis. Motiiv «Muu kari murul, meie kari mudal» esineb ka mujal (vt. tüüp 3044 «Hea pilliga, kuri piitsaga»).",2,3,
1263,006011042,Nõiutud kari,,2,3,
1264,006011041,Müüme ära karjakese!,"ERlA 674, eL tuntud, teisendeid noteeritud vähe. Kas mitte (geneetiliselt) seotud lauluga 35 («Karja kauplejad»)?",2,3,
1265,006011032,Kirju kari,,2,3,
1266,006011050,"Üles, kari, ilma vitsata!","ERlA 680, juhuslikku laadi, Kuusalus populaarne.",2,3,
1267,006011005,Helletus,"ERlA 647, eL, eriti Mulgimaal tuntud ja populaarne. Helletus on vormi poolest regivärsi eelaste, primitiivne lauluvorm. Iseloomulikuks tunnuseks on refräänsõna õlle ~ elle ~ ella kordumine mõne sõna, poolvärsi või värsi järel. Sisuks on tavaliselt naaberkarjuse hõikamine või kutsumine (",2,3,
1268,010001008,Karjas kasvanud,"ERlA 1813, eL tuntud, enamasti arenduses «valetati kodus kasvanud — kasvasin karjas». Kuulub seega «Valelik valetas» laulude rühma (vt. 660, 805, 1241, 1429, 1633, 1634, 1865 jt.). Ligidane laulule 683 («Kaua karjas käinud»).",2,3,
1269,011006003,Ei lähe karjasele,,2,3,
1270,006011035,Laisk karjane,"ERlA 644, peamiselt eL tuntud, ent esineb ka eP — sporaadiliselt (Pee, Kuu, VMr). On võimalik eristada kolm arendust: A. Imetasid hiirepoegi — levikuala põhjapoolsemas osas; B. Magasid mehe man — eL; C. Juhuslikku laadi arendused. Sisuliselt pilge (samu motiive esineb ka muus seoses, näit. ",2,3,
1271,006011043,Näljased karjased,"ERlA 654, ka «Näljased karjased tapavad härja». Tuntud Põhja-Eestis (Ha, Jä, Lä). Paralleeltüüp laulule 700 («Õitseliste pilge»). Kontamineerub sageli siia motiive laulust 4 («Suur härg»). Kasutatakse pilkena (vt. tekst 1403).",2,3,
1272,003009028,Hunt ja karjane,"ERlA 259, Kagu-Eestis tuttav, teisendeid noteeritud vähe, haruldasepoolne. Liitub sageli laul 267. Loomalauludes sagedane dialoogiline ülesehitus.",2,3,
1273,003009025,Hundi seljas kondid,"ERlA 258, tuntud Kesk-Eestis (SJn). Liitub tavaliselt eelmisega ja lauluga 256. Vt. ka 1218.",2,3,
1274,003009030,Hunt karja järel,"ERlA 256, Põhja-Eestis tuntud. Ulatub ka Mulgimaale.



",2,3,
1275,003009024,Hundi hurjutamine,"ERlA 671, üle Eesti tuntud, noteeritud hõredalt, liitub siia motiive teistestki hundisõnadest ja -lauludest (vt. näit. 3237). Liitub — vist juhuslikult

— lauluga 244.

",2,3,
1276,006011031,Kes on hea karjasöötja,"ERlA 650, juhuslik arendus, noteeritud mõned teisendid Järvamaalt.",2,3,
1277,015003007,Karja vastuvõtmise sõnad,"ERlA 3235, tuntud eelistavalt eP. Siin avaldub loitsudes ja võluvormelites sagedane motiiv: mitte nimetada seda, mis on — vaid otse vastupidi, et keegi ei saaks õnne ära võtta. Sisu sama mis kaasaegsete kalameeste «kivi kotti» (või soov «Hals- und Beinbruch»). Seda sõnuti (kui kari terve",2,3,
1278,006011019,Karjaselaul - AJUTINE,,2,3,
1279,006011030,Kavalad karjused,"ERlA 656, eL tuntud. Funktsionaalselt pilge. Kontamineerub kergesti.",2,3,
1280,006011044,Oma ja võõras kari,"ERlA 651, peamiselt eL tuntud. Tekste noteeritud vähe. Esineb niihästi kahepoolselt (võõras kari — näotu kari, oma kari — kaunis kari) kui ka ühepoolselt (ainult: oma kari — kaunis kari).",2,3,
1281,015003019,Võõra karja sajatus,"ERlA 3234, puhtalt esineb harva, seotud eelmisega, s. o. oma karja õnnistamisega. Liitub teiste karjaselauludega, eriti 646 («Ajage kari siia!»). Sisu: võõra õnne n.-ö. äravõtmine, ülevõtmine.",2,3,
1282,006011012,Karjane kaotab karja,"ERlA 662, eP tuntud, mitte eriti populaarne. Siia liitub motiive ka kadri- ja mardilauludest (361, 349) nagu «pilliroog pistab silma». Laul liitub tervikuna kosjateemaliste lauludega, näit. 2289 («Ei lähe karjasele»). Harva esineb ka laulu 36 («Kari kadunud») sissejuhatava osana. Tekst 1417 ",2,3,
1283,006011015,Karjane palub võileiba,"ERlA 640, Mulgimaal päris hästi tuntud, mujal (eL) haruldane.",2,3,
1284,006005008,Kaualõigatud põld,"ERlA 787, Virus ja Järvas väga populaarne laul. Sellest laulust näikse olevat lähtunud laul 783.Virus ja Järvas väga populaarne laul. Sellest laulust näikse olevat lähtunud laul 783.",2,3,
1285,006011034,Kuld karja jälgedes,"ERlA 663, esineb eL, haruldasepoolne; eriredaktsioon laulust 1047 («Kuld jälje peal»).",2,3,
1286,006011017,Karjariisujad,"ERlA 673, haruldane (leitud ainult kaks teksti). Laul on huvitav,

ent raskesti seletatav. Võimalik, et siin kajastuvad taludesse kasarmeeritud sõjaväeosade (seda tehti karistuseks ja ülestõusude mahasurumiseks XVIII—XIX sajandil) vägivallateod.

",2,3,
1287,007001003,Hommiku hooled,,2,3,
1288,015003010,Kasvu soovimise sõnad,"ERlA 3227, haruldane",2,3,
1289,010001042,"Tulin koju, tegin kurja","ERlA 1915, tuntud Kagu-Eestis. Liitub siia puhuti 509 («Sarvepuhuja»).",2,3,
1290,015003016,Viisusõnad,"ERlA 3247, üksikuid noteeringuid tuntud eL. Sisuliselt hundi mõnitus. Kui karjane karja juures uued viisud jalga pani, pidi ta vanad viisud (ilma paelata) üle vasema õla metsa viskama, sealjuures esitatud sõnu lugedes. See oli mõeldud hundi tõrjeks.",2,3,
1291,007003009,Igas vallas vaeslapsed,"ERlA 1588, tuntud Kagu-Eestis, iseseisva lauluna esineb harva.",2,3,
1292,006011028,Kas on valmis vasikajook?,"ERlA 677, eL väga populaarne karjaselaul, eelistavalt tuntud just Kagu-Eestis. Liitub sageli lauluga 659.",2,3,
1293,006011021,Karjasel kuri kodu,"ERlA 676, eL tuntud. Seotud lauluga 1803 («Kuri kodu») Populaarsem on tegelikult arendus «Kodus kuri perenaine»",2,3,
1294,006011014,Karjane palub pätsikest,"ERlA 641, eL, juhuslikku laadi, vormilt erandlik (kuuesilbiline värss), näikse olevat läti mõjul tekkinud. Motiivina mõnikord laulu 36 alguses.",2,3,
1295,006011022,Karjase matused,"ERlA 655, eL esineb. Vormiliselt erandlik — kuuesilbiline värss. Funktsionaalselt pilge. Vististi läti rahvalaulu eeskujul loodud (s. o. Lätist laenatud), Lätis vastav laul väga populaarne.",2,3,
1296,006011023,Karjase palk,"ERlA 682, haruldane (leitud 3 teksti). Näikse olevat lähtunud tüübist 1532 («Hollandi sulane»). Liitub sageli lauluga 683 («Kaua karjas käinud») ja 1532 («Hollandi sulane»).",2,3,
1297,006011018,Karjased kadunud,"ERlA 664, Lääne-Eestis tuntud, noteeritud tekste on vähe. Motiiv «kus ei kuulnud kukehäält» on iseloomult rändmotiiv, esineb väga mitmes seoses, kauguse ja üksiku tühja ning õudse koha märkimiseks (näit. 2666, 2066 jm.).",2,3,
1298,006009068,Viige kangas kesale,"motiiv, milles kangas palub, et ta viidaks kuskile välja",2,3,
1299,011003044,Pealtnäha neiu,"Pealtnäha neiu: VK VII*, VK XI 254, ERlA 2081: eL tuntud, ent ulatub ka põhja; pigem motiiv kui iseseisev laul, liitub puhuti 2076 («Peetud neiud»). Kasutatud ka pulmades mõrsja pilkena.",2,3,
